,source,target,value
0,France,Italy,13
1,Italy,Russia,1
2,Germany,Russia,16
3,Bulgaria,Germany,2
4,Bulgaria,Russia,2
5,Germany,Italy,26
6,Austria,Germany,9
7,Germany,Spain,4
8,France,Spain,4
9,France,Poland,9
10,France,Germany,27
11,Germany,Poland,27
12,Estonia,Germany,4
13,Estonia,Latvia,10
14,Latvia,Lithuania,5
15,Finland,Lithuania,10
16,Finland,Germany,8
17,Belgium,Poland,4
18,Belgium,Netherlands,5
19,Luxembourg,Netherlands,5
20,Belgium,Luxembourg,4
21,Belgium,Denmark,5
22,Denmark,Norway,15
23,Denmark,Sweden,5
24,Germany,Sweden,5
25,Germany,Greece,8
26,Albania,Greece,10
27,Greece,Ukraine,4
28,Belarus,Ukraine,5
29,Belarus,Libya,4
30,Egypt,Libya,13
31,Egypt,Iraq,4
32,Iraq,Japan,4
33,Germany,Japan,27
34,Japan,Russia,18
35,Germany,Morocco,4
36,Algeria,Morocco,5
37,Algeria,Italy,4
38,Japan,Thailand,5
39,Singapore,Thailand,5
40,Japan,Singapore,4
41,Japan,Philippines,17
42,Japan,Solomon Islands,9
43,India,Japan,9
44,Japan,Poland,4
45,France,Russia,5
46,France,India,5
47,India,Pakistan,15
48,Israel,Pakistan,5
49,Israel,South Africa,9
50,Israel,Libya,4
51,Iran,Libya,5
52,Germany,Iran,8
53,France,Japan,4
54,Japan,Papua New Guinea,4
55,India,Papua New Guinea,4
56,Pakistan,Philippines,9
57,Laos,Philippines,4
58,Cambodia,Laos,5
59,Cambodia,Kenya,4
60,Ghana,Kenya,5
61,Ghana,Seychelles,5
62,Angola,Seychelles,4
63,Angola,Latvia,4
64,Estonia,Lithuania,5
65,Finland,Romania,5
66,Albania,Romania,4
67,Albania,Bulgaria,5
68,Bulgaria,Poland,5
69,Poland,Romania,5
70,Hungary,Romania,5
71,Hungary,Mongolia,4
72,Cuba,Mongolia,5
73,Cuba,United States,8
74,Canada,United States,4
75,Australia,Canada,5
76,Australia,Vietnam,4
77,Cambodia,Vietnam,8
78,Cuba,Vietnam,4
79,Russia,United States,4
80,India,Russia,4
81,Austria,India,4
82,Austria,Russia,4
83,Finland,Russia,5
84,Denmark,Germany,5
85,France,Norway,4
86,Greece,Italy,4
87,Italy,Japan,13
88,Israel,Japan,4
89,Iran,Israel,4
90,Germany,India,4
91,Philippines,Romania,4
92,Romania,Russia,5
93,Russia,Vietnam,4
94,Lebanon,Vietnam,4
95,India,Lebanon,4
96,India,Singapore,4
